,Incident Summary,State,Open Date
187,HSCN - Slow / Degraded Performance,Closed,06-Oct-2023 18:43
188,HSCN - Intermittent Outage - Repeatedly Reported,On Hold,06-Oct-2023 09:42
189,HSCN - Intermittent Outage,Closed,06-Oct-2023 09:33
190,HSCN - Internet Outage,Closed,06-Oct-2023 08:40
191,HSCN - Internet Outage,Closed,05-Oct-2023 09:53
192,HSCN - Slow / Degraded Performance,Closed,05-Oct-2023 09:40
193,HSCN - Slow / Degraded Performance,Closed,04-Oct-2023 17:29
194,HSCN - Intermittent Outage,Closed,04-Oct-2023 12:25
195,HSCN - Slow / Degraded Performance,Closed,04-Oct-2023 10:55
196,HSCN - Slow / Degraded Performance,Closed,04-Oct-2023 09:41
197,HSCN - Slow / Degraded Performance,Closed,04-Oct-2023 09:40
198,HSCN - Internet Outage raised by ISP,Closed,04-Oct-2023 08:25
199,HSCN - Slow / Degraded Performance,Closed,03-Oct-2023 16:38
200,HSCN - Slow / Degraded Performance,Closed,03-Oct-2023 14:57
201,HSCN - Internet Outage,Closed,03-Oct-2023 09:36
202,HSCN - Internet Outage raised by ISP,Closed,03-Oct-2023 08:48
203,HSCN - Internet Outage raised by ISP,Closed,03-Oct-2023 08:47
204,HSCN - Internet Outage raised by ISP,Closed,03-Oct-2023 08:46
205,HSCN - Intermittent Outage raised by ISP,Closed,03-Oct-2023 08:45
206,HSCN - Internet Outage,Closed,03-Oct-2023 08:39
207,HSCN - Internet Outage raised by ISP,Closed,02-Oct-2023 14:50
208,HSCN - Internet Outage raised by ISP,Closed,02-Oct-2023 13:55
209,HSCN - Intermittent Outage raised by ISP,Closed,02-Oct-2023 13:53
210,HSCN - Intermittent Outage raised by ISP,Closed,02-Oct-2023 13:51
211,HSCN - Slow / Degraded Performance,Closed,02-Oct-2023 13:51
212,HSCN - Intermittent Outage raised by ISP,Closed,02-Oct-2023 13:49
213,HSCN - Internet Outage raised by ISP,Closed,02-Oct-2023 13:43
214,HSCN - Internet Outage,Closed,02-Oct-2023 13:37
215,HSCN - Intermittent Outage,Closed,02-Oct-2023 12:19
216,HSCN - Intermittent Outage,Closed,02-Oct-2023 10:31
217,HSCN - Internet Outage raised by ISP,Closed,02-Oct-2023 10:01
218,HSCN - Slow / Degraded Performance,Closed,02-Oct-2023 08:32
219,HSCN - Internet Outage,Closed,02-Oct-2023 08:14
220,HSCN - Internet Outage,Closed,02-Oct-2023 08:11
221,HSCN - Internet Outage,Closed,02-Oct-2023 08:09
222,HSCN - Intermittent Outage raised by ISP,Closed,29-Sep-2023 11:13
223,HSCN - Internet Outage,Closed,29-Sep-2023 09:25
224,HSCN - Internet Outage,Closed,29-Sep-2023 09:21
225,HSCN - Internet Outage,Closed,29-Sep-2023 08:02
226,HSCN - Internet Outage,Closed,28-Sep-2023 15:04
227,HSCN - Internet Outage,Closed,28-Sep-2023 14:10
228,HSCN - Internet Outage,Closed,28-Sep-2023 09:54
229,HSCN - Internet Outage,Closed,28-Sep-2023 09:01
230,HSCN - Slow / Degraded Performance,Closed,28-Sep-2023 08:53
231,HSCN - Slow / Degraded Performance,Closed,28-Sep-2023 08:36
232,HSCN - Slow / Degraded Performance,Closed,28-Sep-2023 08:33
233,HSCN - Slow / Degraded Performance,Closed,28-Sep-2023 08:29
234,HSCN - Slow / Degraded Performance,Closed,27-Sep-2023 14:52
235,HSCN - Router Swap,Closed,27-Sep-2023 12:54
236,HSCN - Internet Outage,Closed,27-Sep-2023 10:34
237,HSCN - Internet Outage,Closed,27-Sep-2023 10:30
238,HSCN - Internet Outage,Closed,27-Sep-2023 09:44
239,HSCN - Intermittent Outage raised by ISP,Closed,27-Sep-2023 08:16
240,HSCN - Internet Outage raised by ISP,Closed,27-Sep-2023 08:06
241,HSCN - Internet Outage raised by ISP,Closed,27-Sep-2023 08:03
242,HSCN - Internet Outage,Closed,26-Sep-2023 18:01
243,HSCN - Intermittent Outage,Closed,26-Sep-2023 17:44
244,HSCN - Slow / Degraded Performance,Closed,26-Sep-2023 16:18
245,HSCN - Internet Outage,Closed,26-Sep-2023 15:33
246,HSCN - Full group Internet speed tests,Closed,26-Sep-2023 13:58
247,HSCN - Slow / Degraded Performance,Closed,26-Sep-2023 13:46
248,HSCN - Intermittent Outage,Closed,26-Sep-2023 11:41
249,HSCN - Internet Outage raised by ISP,Closed,26-Sep-2023 09:47
250,HSCN - Internet Outage,Closed,26-Sep-2023 08:52
251,HSCN - Internet Outage raised by ISP,Closed,26-Sep-2023 08:52
252,HSCN - Intermittent Outage raised by ISP,Closed,25-Sep-2023 14:48
253,HSCN - Internet Outage,Closed,25-Sep-2023 12:03
254,HSCN - Internet Outage,Closed,25-Sep-2023 10:34
255,HSCN - Internet Outage raised by ISP,Closed,25-Sep-2023 08:57
256,HSCN - Internet Outage raised by ISP,Closed,25-Sep-2023 08:06
257,HSCN - Internet Outage raised by ISP,Closed,25-Sep-2023 08:05
258,HSCN - Internet Outage raised by ISP,Closed,25-Sep-2023 08:03
259,HSCN - Internet Outage raised by ISP,Closed,25-Sep-2023 08:02
260,HSCN - Internet Outage,Closed,23-Sep-2023 09:20
261,HSCN - Slow / Degraded Performance,Closed,22-Sep-2023 17:08
262,HSCN - Slow / Degraded Performance,On Hold,22-Sep-2023 16:35
263,HSCN - Internet Outage raised by ISP,Closed,22-Sep-2023 15:25
264,HSCN - Internet Outage raised by ISP,Closed,22-Sep-2023 11:44
265,HSCN - Slow / Degraded Performance,Closed,22-Sep-2023 11:20
266,HSCN - Intermittent Outage raised by ISP,Closed,22-Sep-2023 08:58
267,HSCN - Internet Outage,Closed,22-Sep-2023 08:56
268,HSCN - Slow / Degraded Performance,Closed,22-Sep-2023 08:51
269,HSCN - Internet Outage,Closed,22-Sep-2023 08:41
270,HSCN - Intermittent Outage raised by ISP,Closed,22-Sep-2023 08:40
271,HSCN - Internet Outage raised by ISP,Closed,22-Sep-2023 08:38
272,HSCN - Internet Outage raised by ISP,Closed,22-Sep-2023 08:37
273,HSCN - Intermittent Outage raised by ISP,Closed,22-Sep-2023 08:35
274,HSCN - Internet Outage raised by ISP,Closed,22-Sep-2023 08:26
275,HSCN - Internet Outage raised by ISP,Closed,22-Sep-2023 08:24
276,HSCN - Internet Outage raised by ISP,Closed,22-Sep-2023 08:20
277,HSCN - Internet Outage raised by ISP,Closed,22-Sep-2023 08:18
278,HSCN - Internet Outage raised by ISP,Closed,22-Sep-2023 08:16
279,HSCN - Slow / Degraded Performance,Closed,21-Sep-2023 15:03
280,HSCN - Slow / Degraded Performance,Closed,21-Sep-2023 12:11
281,HSCN - Internet Outage,Closed,21-Sep-2023 11:02
282,HSCN - Slow / Degraded Performance,Closed,21-Sep-2023 10:15
283,HSCN - Internet Outage,Closed,20-Sep-2023 16:21
284,HSCN - Internet Outage raised by ISP,Closed,20-Sep-2023 12:45
285,HSCN - Slow / Degraded Performance,Closed,20-Sep-2023 11:00
286,HSCN - Slow / Degraded Performance,Closed,19-Sep-2023 16:30
287,HSCN - Internet Outage raised by ISP,Closed,19-Sep-2023 15:15
288,HSCN - Internet Outage raised by ISP,Closed,19-Sep-2023 15:13
289,HSCN - Internet Outage raised by ISP,Closed,19-Sep-2023 15:11
290,HSCN - Internet Outage raised by ISP,Closed,19-Sep-2023 15:09
291,HSCN - Internet Outage raised by ISP,Closed,19-Sep-2023 15:07
292,HSCN - Intermittent Outage raised by ISP,Closed,19-Sep-2023 15:05
293,HSCN - Internet Outage raised by ISP,Closed,19-Sep-2023 15:01
294,HSCN - Internet Outage,Closed,19-Sep-2023 13:40
295,HSCN - Slow / Degraded Performance,Closed,19-Sep-2023 10:46
296,HSCN - Internet Outage,Closed,19-Sep-2023 10:07
297,HSCN - Internet Outage,Closed,19-Sep-2023 09:54
298,HSCN - Slow / Degraded Performance,Closed,18-Sep-2023 15:57
299,HSCN - Internet Outage raised by ISP,Closed,18-Sep-2023 15:10
300,HSCN - Internet Outage,Closed,18-Sep-2023 12:54
301,HSCN - Intermittent Outage raised by ISP,Resolved,18-Sep-2023 12:04
302,HSCN - Intermittent Outage raised by ISP,Closed,18-Sep-2023 12:01
303,HSCN - Intermittent Outage raised by ISP,Closed,18-Sep-2023 12:00
304,HSCN - Intermittent Outage raised by ISP,Closed,18-Sep-2023 11:58
305,HSCN - Internet Outage raised by ISP,Closed,18-Sep-2023 11:57
306,HSCN - Intermittent Outage raised by ISP,Closed,18-Sep-2023 11:55
307,HSCN - Intermittent Outage raised by ISP,Closed,18-Sep-2023 11:54
308,HSCN - Internet Outage,Closed,18-Sep-2023 11:49
309,HSCN - Internet Outage raised by ISP,Closed,18-Sep-2023 11:35
310,HSCN - Internet Outage raised by ISP,Closed,18-Sep-2023 11:34
311,HSCN - Slow / Degraded Performance,Closed,18-Sep-2023 11:26
312,HSCN - Slow / Degraded Performance,Closed,18-Sep-2023 11:07
313,HSCN - Slow / Degraded Performance,Closed,18-Sep-2023 10:43
314,HSCN - Internet Outage raised by ISP,Closed,18-Sep-2023 08:39
